tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Month,Day
273,2018-03-05 19:20:31.729,2018-03-05 19:25:05.313,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.7124188237569,-74.03852552175522,29445,Subscriber,1988,1,3,5
239,2018-06-13 11:27:02.600,2018-06-13 11:31:02.252,3640,Journal Square,40.733670000000004,-74.0625,3201,Dey St,40.737711,-74.066921,26256,Subscriber,1974,2,6,13
337,2018-08-24 16:49:11.034,2018-08-24 16:54:48.649,3280,Astor Place,40.71928220070703,-74.07126188278198,3195,Sip Ave,40.730742625306576,-74.06378388404845,29262,Subscriber,1988,1,8,24
482,2018-07-25 22:07:51.342,2018-07-25 22:15:53.618,3185,City Hall,40.717732500000004,-74.04384499999999,3267,Morris Canal,40.7124188237569,-74.03852552175522,29263,Subscriber,1977,1,7,25
297,2018-05-07 08:15:45.081,2018-05-07 08:20:43.018,3681,Grand St,40.71517767732029,-74.03768330812454,3186,Grove St PATH,40.71958611647166,-74.0431174635887,29445,Subscriber,1981,2,5,7
183,2018-04-20 18:20:17.163,2018-04-20 18:23:20.668,3187,Warren St,40.721123600000006,-74.03805095,3186,Grove St PATH,40.71958611647166,-74.0431174635887,26288,Subscriber,1988,1,4,20
549,2018-04-17 11:59:47.672,2018-04-17 12:08:57.529,3203,Hamilton Park,40.727595965999996,-74.044247311,3183,Exchange Place,40.7162469,-74.0334588,26203,Subscriber,1960,1,4,17
218,2018-07-12 08:10:08.992,2018-07-12 08:13:47.701,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3185,City Hall,40.717732500000004,-74.04384499999999,29259,Subscriber,1982,1,7,12
604,2018-08-09 18:10:50.512,2018-08-09 18:20:54.698,3183,Exchange Place,40.7162469,-74.0334588,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,29665,Subscriber,1958,1,8,9
308,2018-06-28 08:18:14.844,2018-06-28 08:23:23.787,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3681,Grand St,40.71517767732029,-74.03768330812454,29210,Subscriber,1976,1,6,28
189,2018-09-04 18:00:51.622,2018-09-04 18:04:00.863,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,26279,Subscriber,1956,2,9,4
188,2018-09-14 13:55:09.389,2018-09-14 13:58:17.779,3638,Washington St,40.7242941,-74.0354826,3639,Harborside,40.71925170000001,-74.034234,29227,Subscriber,1981,1,9,14
805,2018-12-12 08:42:05.065,2018-12-12 08:55:30.716,3196,Riverview Park,40.7443187,-74.04399090000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,29552,Subscriber,1987,1,12,12
353,2018-10-01 14:23:50.745,2018-10-01 14:29:43.812,3267,Morris Canal,40.7124188237569,-74.03852552175522,3186,Grove St PATH,40.71958611647166,-74.0431174635887,29512,Subscriber,1984,1,10,1
1652,2018-10-01 14:25:54.321,2018-10-01 14:53:26.995,3196,Riverview Park,40.7443187,-74.04399090000001,3198,Heights Elevator,40.748715945380226,-74.04044330120088,29504,Subscriber,1988,1,10,1
248,2018-10-30 15:07:40.949,2018-10-30 15:11:49.341,3638,Washington St,40.7242941,-74.0354826,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,29236,Subscriber,1963,1,10,30
135,2018-04-23 18:48:14.632,2018-04-23 18:50:30.341,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,3203,Hamilton Park,40.727595965999996,-74.044247311,33641,Subscriber,1958,1,4,23
333,2018-07-02 08:14:57.305,2018-07-02 08:20:30.897,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,3186,Grove St PATH,40.71958611647166,-74.0431174635887,33623,Subscriber,1991,1,7,2
315,2018-08-08 08:13:21.560,2018-08-08 08:18:37.355,3280,Astor Place,40.71928220070703,-74.07126188278198,3195,Sip Ave,40.730742625306576,-74.06378388404845,29552,Subscriber,1987,2,8,8
773,2018-07-13 09:17:37.788,2018-07-13 09:30:31.184,3210,Pershing Field,40.742677141,-74.051788633,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,26248,Subscriber,1983,1,7,13
482,2018-12-21 22:58:35.431,2018-12-21 23:06:38.330,3195,Sip Ave,40.730742625306576,-74.06378388404845,3210,Pershing Field,40.742677141,-74.051788633,29468,Subscriber,1995,2,12,21
316,2018-02-08 09:35:58.573,2018-02-08 09:41:15.525,3481,York St,40.71649,-74.04105,3273,Manila & 1st,40.72165072487999,-74.04288411140442,29629,Subscriber,1987,2,2,8
610,2018-10-08 18:49:56.680,2018-10-08 19:00:07.201,3206,Hilltop,40.7311689,-74.0575736,3198,Heights Elevator,40.748715945380226,-74.04044330120088,29461,Subscriber,1992,1,10,8
323,2018-02-23 16:06:57.757,2018-02-23 16:12:21.135,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.047726625,29242,Subscriber,1986,1,2,23
335,2018-07-11 17:45:17.308,2018-07-11 17:50:52.678,3195,Sip Ave,40.730742625306576,-74.06378388404845,3207,Oakland Ave,40.7376037,-74.05247829999999,33613,Subscriber,1985,1,7,11
1045,2018-06-18 08:05:05.270,2018-06-18 08:22:30.635,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,3202,Newport PATH,40.7272235,-74.03375890000001,29289,Subscriber,1982,1,6,18
703,2018-12-03 09:21:40.022,2018-12-03 09:33:23.397,3194,McGinley Square,40.7253399253558,-74.06762212514876,3183,Exchange Place,40.7162469,-74.0334588,29197,Subscriber,1989,1,12,3
649,2018-07-27 16:26:30.472,2018-07-27 16:37:19.951,3195,Sip Ave,40.730742625306576,-74.06378388404845,3193,Lincoln Park,40.7246050998869,-74.07840594649316,33611,Subscriber,1980,1,7,27
249,2018-03-14 09:14:57.208,2018-03-14 09:19:06.671,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3183,Exchange Place,40.7162469,-74.0334588,26223,Subscriber,1983,2,3,14
256,2018-04-10 15:33:34.628,2018-04-10 15:37:51.153,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,31772,Subscriber,1956,1,4,10
179,2018-08-15 19:34:00.976,2018-08-15 19:37:00.499,3640,Journal Square,40.733670000000004,-74.0625,3201,Dey St,40.737711,-74.066921,29124,Subscriber,1988,1,8,15
205,2018-06-15 18:28:53.271,2018-06-15 18:32:18.820,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3213,Van Vorst Park,40.71848892,-74.047726625,29287,Subscriber,1977,1,6,15
522,2018-09-03 11:26:46.991,2018-09-03 11:35:29.801,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3267,Morris Canal,40.7124188237569,-74.03852552175522,29612,Customer,1969,0,9,3
249,2018-09-26 13:57:10.658,2018-09-26 14:01:20.285,3267,Morris Canal,40.7124188237569,-74.03852552175522,3639,Harborside,40.71925170000001,-74.034234,26236,Subscriber,1982,1,9,26
173,2018-11-07 08:26:51.441,2018-11-07 08:29:45.201,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,3186,Grove St PATH,40.71958611647166,-74.0431174635887,26213,Subscriber,1970,1,11,7
574,2018-10-13 20:50:37.468,2018-10-13 21:00:11.909,3211,Newark Ave,40.72152515,-74.046304543,3202,Newport PATH,40.7272235,-74.03375890000001,31151,Subscriber,1991,1,10,13
549,2018-04-16 19:33:07.009,2018-04-16 19:42:16.972,3206,Hilltop,40.7311689,-74.0575736,3273,Manila & 1st,40.72165072487999,-74.04288411140442,29232,Subscriber,1988,2,4,16
646,2018-12-06 17:16:34.424,2018-12-06 17:27:20.550,3194,McGinley Square,40.7253399253558,-74.06762212514876,3205,JC Medical Center,40.71653978099194,-74.0496379137039,29301,Subscriber,1973,2,12,6
635,2018-01-21 14:16:15.802,2018-01-21 14:26:51.667,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3481,York St,40.71649,-74.04105,31675,Subscriber,1980,1,1,21
208,2018-02-27 19:27:00.869,2018-02-27 19:30:28.931,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3203,Hamilton Park,40.727595965999996,-74.044247311,26257,Subscriber,1987,1,2,27
456,2018-08-10 14:27:45.455,2018-08-10 14:35:21.541,3184,Paulus Hook,40.7141454,-74.0335519,3185,City Hall,40.717732500000004,-74.04384499999999,29534,Subscriber,1981,1,8,10
98,2018-08-22 13:28:45.198,2018-08-22 13:30:23.675,3681,Grand St,40.71517767732029,-74.03768330812454,3275,Columbus Drive,40.71835519823214,-74.03891444206238,26271,Subscriber,1985,1,8,22
754,2018-11-07 20:01:16.819,2018-11-07 20:13:51.187,3640,Journal Square,40.733670000000004,-74.0625,3639,Harborside,40.71925170000001,-74.034234,26181,Subscriber,1985,2,11,7
238,2018-08-04 08:55:14.491,2018-08-04 08:59:12.747,3185,City Hall,40.717732500000004,-74.04384499999999,3205,JC Medical Center,40.71653978099194,-74.0496379137039,26153,Subscriber,1964,1,8,4
289,2018-06-25 11:49:13.001,2018-06-25 11:54:02.408,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3639,Harborside,40.71925170000001,-74.034234,29497,Subscriber,1988,1,6,25
278,2018-09-17 22:21:54.248,2018-09-17 22:26:32.888,3184,Paulus Hook,40.7141454,-74.0335519,3275,Columbus Drive,40.71835519823214,-74.03891444206238,26175,Subscriber,1991,1,9,17
156,2018-09-05 18:12:25.703,2018-09-05 18:15:02.591,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.71925170000001,-74.034234,26217,Subscriber,1989,1,9,5
400,2018-09-06 17:13:35.315,2018-09-06 17:20:15.671,3195,Sip Ave,40.730742625306576,-74.06378388404845,3207,Oakland Ave,40.7376037,-74.05247829999999,26205,Subscriber,1984,2,9,6
1364,2018-05-21 08:26:02.884,2018-05-21 08:48:47.037,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,3183,Exchange Place,40.7162469,-74.0334588,29440,Subscriber,1987,1,5,21
994,2018-11-15 06:42:41.244,2018-11-15 06:59:16.070,3203,Hamilton Park,40.727595965999996,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,26274,Subscriber,1988,1,11,15
128,2018-06-04 16:51:44.748,2018-06-04 16:53:53.661,3638,Washington St,40.7242941,-74.0354826,3187,Warren St,40.721123600000006,-74.03805095,29640,Subscriber,1988,1,6,4
304,2018-10-03 04:31:20.760,2018-10-03 04:36:25.445,3210,Pershing Field,40.742677141,-74.051788633,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,29471,Subscriber,1989,1,10,3
158,2018-08-27 08:53:29.670,2018-08-27 08:56:08.014,3481,York St,40.71649,-74.04105,3186,Grove St PATH,40.71958611647166,-74.0431174635887,29264,Subscriber,1988,1,8,27
956,2018-08-21 16:56:41.165,2018-08-21 17:12:37.390,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,3275,Columbus Drive,40.71835519823214,-74.03891444206238,29272,Subscriber,1992,1,8,21
245,2018-10-10 20:12:54.380,2018-10-10 20:16:59.464,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3186,Grove St PATH,40.71958611647166,-74.0431174635887,26192,Subscriber,1985,1,10,10
272,2018-05-30 08:32:01.439,2018-05-30 08:36:33.590,3638,Washington St,40.7242941,-74.0354826,3639,Harborside,40.71925170000001,-74.034234,29283,Subscriber,1989,2,5,30
149,2018-01-24 17:31:38.968,2018-01-24 17:34:08.626,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3213,Van Vorst Park,40.71848892,-74.047726625,26197,Subscriber,1980,1,1,24
250,2018-05-24 17:57:40.513,2018-05-24 18:01:51.267,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3203,Hamilton Park,40.727595965999996,-74.044247311,33618,Subscriber,1984,1,5,24
353,2018-11-11 13:58:30.472,2018-11-11 14:04:23.948,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,3187,Warren St,40.721123600000006,-74.03805095,26213,Subscriber,1987,1,11,11
921,2018-10-11 21:37:44.695,2018-10-11 21:53:05.801,3207,Oakland Ave,40.7376037,-74.05247829999999,3681,Grand St,40.71517767732029,-74.03768330812454,29297,Subscriber,1960,1,10,11
206,2018-07-18 23:03:20.528,2018-07-18 23:06:47.359,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3203,Hamilton Park,40.727595965999996,-74.044247311,29675,Subscriber,1990,1,7,18
211,2018-12-22 09:01:08.624,2018-12-22 09:04:40.203,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.730742625306576,-74.06378388404845,29522,Subscriber,1962,1,12,22
143,2018-10-12 09:03:39.502,2018-10-12 09:06:02.841,3481,York St,40.71649,-74.04105,3183,Exchange Place,40.7162469,-74.0334588,29599,Subscriber,1982,1,10,12
415,2018-06-29 16:57:51.847,2018-06-29 17:04:47.236,3202,Newport PATH,40.7272235,-74.03375890000001,3481,York St,40.71649,-74.04105,29306,Subscriber,1986,1,6,29
200,2018-09-17 20:17:07.235,2018-09-17 20:20:27.239,3183,Exchange Place,40.7162469,-74.0334588,3481,York St,40.71649,-74.04105,26249,Subscriber,1992,1,9,17
226,2018-05-26 13:52:56.111,2018-05-26 13:56:42.648,3481,York St,40.71649,-74.04105,3187,Warren St,40.721123600000006,-74.03805095,33595,Subscriber,1985,2,5,26
257,2018-12-01 15:45:13.042,2018-12-01 15:49:30.806,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,26190,Subscriber,1979,1,12,1
289,2018-10-09 08:34:36.812,2018-10-09 08:39:26.282,3203,Hamilton Park,40.727595965999996,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,26312,Subscriber,1990,2,10,9
2173,2018-09-02 13:10:46.431,2018-09-02 13:46:59.848,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,29592,Subscriber,1983,1,9,2
309,2018-03-25 08:50:03.040,2018-03-25 08:55:12.807,3202,Newport PATH,40.7272235,-74.03375890000001,3183,Exchange Place,40.7162469,-74.0334588,31711,Subscriber,1990,1,3,25
156,2018-08-29 19:04:49.513,2018-08-29 19:07:25.985,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3279,Dixon Mills,40.72163014263835,-74.04996782541275,26161,Subscriber,1985,1,8,29
345,2018-08-23 08:14:12.290,2018-08-23 08:19:57.688,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,3185,City Hall,40.717732500000004,-74.04384499999999,29642,Subscriber,1969,0,8,23
785,2018-06-21 16:02:10.990,2018-06-21 16:15:16.042,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3202,Newport PATH,40.7272235,-74.03375890000001,29502,Subscriber,1984,1,6,21
523,2018-05-23 09:56:48.533,2018-05-23 10:05:32.140,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,3186,Grove St PATH,40.71958611647166,-74.0431174635887,29593,Subscriber,1983,1,5,23
208,2018-08-29 13:16:22.269,2018-08-29 13:19:50.963,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,29494,Subscriber,1977,2,8,29
1187,2018-09-11 18:11:54.391,2018-09-11 18:31:41.493,3211,Newark Ave,40.72152515,-74.046304543,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,26181,Subscriber,1972,1,9,11
334,2018-03-03 23:03:17.523,2018-03-03 23:08:52.506,3194,McGinley Square,40.7253399253558,-74.06762212514876,3640,Journal Square,40.733670000000004,-74.0625,29597,Subscriber,1987,1,3,3
356,2018-07-25 18:38:59.430,2018-07-25 18:44:56.139,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3213,Van Vorst Park,40.71848892,-74.047726625,26174,Subscriber,1984,1,7,25
428,2018-08-17 15:29:01.817,2018-08-17 15:36:09.933,3210,Pershing Field,40.742677141,-74.051788633,3220,5 Corners Library,40.73496102000952,-74.05950307846071,26307,Subscriber,1988,1,8,17
506,2018-07-12 18:49:17.899,2018-07-12 18:57:44.870,3185,City Hall,40.717732500000004,-74.04384499999999,3639,Harborside,40.71925170000001,-74.034234,29229,Subscriber,1988,1,7,12
674,2018-05-29 09:00:15.254,2018-05-29 09:11:29.519,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,3192,Liberty Light Rail,40.711242299999995,-74.0557013,29613,Customer,1997,1,5,29
253,2018-10-13 15:35:58.571,2018-10-13 15:40:12.063,3187,Warren St,40.721123600000006,-74.03805095,3681,Grand St,40.71517767732029,-74.03768330812454,29552,Subscriber,1981,1,10,13
343,2018-09-17 18:53:55.652,2018-09-17 18:59:39.105,3195,Sip Ave,40.730742625306576,-74.06378388404845,3207,Oakland Ave,40.7376037,-74.05247829999999,29477,Subscriber,1984,2,9,17
1016,2018-08-25 15:55:20.495,2018-08-25 16:12:17.087,3481,York St,40.71649,-74.04105,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,26167,Subscriber,1975,2,8,25
1548,2018-08-10 08:04:55.222,2018-08-10 08:30:43.306,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.03375890000001,33611,Subscriber,1992,1,8,10
1557,2018-05-19 19:58:41.420,2018-05-19 20:24:38.585,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,26203,Subscriber,1980,2,5,19
277,2018-12-18 07:30:51.975,2018-12-18 07:35:29.792,3483,Montgomery St,40.71942,-74.05099,3186,Grove St PATH,40.71958611647166,-74.0431174635887,29490,Subscriber,1972,2,12,18
970,2018-08-06 18:03:58.859,2018-08-06 18:20:09.470,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,20654,Subscriber,1981,1,8,6
332,2018-09-06 08:31:22.937,2018-09-06 08:36:55.387,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3183,Exchange Place,40.7162469,-74.0334588,26213,Subscriber,1985,1,9,6
130,2018-05-16 19:35:51.609,2018-05-16 19:38:01.783,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,26261,Subscriber,1987,1,5,16
236,2018-04-29 09:51:15.447,2018-04-29 09:55:12.374,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.730742625306576,-74.06378388404845,29669,Subscriber,1994,1,4,29
2160,2018-12-05 18:12:14.579,2018-12-05 18:48:15.086,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,29588,Subscriber,1971,2,12,5
149,2018-01-14 18:54:06.710,2018-01-14 18:56:35.794,3203,Hamilton Park,40.727595965999996,-74.044247311,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,29593,Subscriber,1969,0,1,14
111,2018-06-12 08:40:40.163,2018-06-12 08:42:31.201,3639,Harborside,40.71925170000001,-74.034234,3183,Exchange Place,40.7162469,-74.0334588,29201,Subscriber,1989,1,6,12
94,2018-05-29 15:40:25.924,2018-05-29 15:42:00.140,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3202,Newport PATH,40.7272235,-74.03375890000001,29307,Subscriber,1980,2,5,29
761,2018-08-01 18:58:40.296,2018-08-01 19:11:21.324,3195,Sip Ave,40.730742625306576,-74.06378388404845,3191,Union St,40.71821129999999,-74.08363940000001,29301,Subscriber,1971,2,8,1
590,2018-07-10 12:09:49.537,2018-07-10 12:19:39.721,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.711242299999995,-74.0557013,33609,Subscriber,1986,1,7,10
345,2018-08-24 18:19:29.196,2018-08-24 18:25:14.239,3202,Newport PATH,40.7272235,-74.03375890000001,3639,Harborside,40.71925170000001,-74.034234,26295,Subscriber,1992,1,8,24
329,2018-09-04 19:20:51.700,2018-09-04 19:26:21.481,3203,Hamilton Park,40.727595965999996,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,26230,Subscriber,1991,1,9,4
1871,2018-06-01 21:11:50.347,2018-06-01 21:43:01.390,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,29474,Subscriber,1986,1,6,1
357,2018-02-08 13:12:01.312,2018-02-08 13:17:58.416,3213,Van Vorst Park,40.71848892,-74.047726625,3183,Exchange Place,40.7162469,-74.0334588,31914,Subscriber,1986,1,2,8
228,2018-04-11 07:52:24.010,2018-04-11 07:56:12.655,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,33560,Subscriber,1968,1,4,11
359,2018-08-21 18:26:15.215,2018-08-21 18:32:14.235,3483,Montgomery St,40.71942,-74.05099,3186,Grove St PATH,40.71958611647166,-74.0431174635887,27743,Subscriber,1987,1,8,21
847,2018-04-28 08:24:01.911,2018-04-28 08:38:08.944,3198,Heights Elevator,40.748715945380226,-74.04044330120088,3195,Sip Ave,40.730742625306576,-74.06378388404845,29678,Subscriber,1978,1,4,28
482,2018-09-04 17:36:37.943,2018-09-04 17:44:40.070,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3212,Christ Hospital,40.734785818,-74.050443636,32259,Subscriber,1988,1,9,4
4914,2018-08-26 13:32:37.502,2018-08-26 14:54:32.052,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,26293,Customer,1969,0,8,26
264,2018-09-11 20:06:10.116,2018-09-11 20:10:34.309,3195,Sip Ave,40.730742625306576,-74.06378388404845,3225,Baldwin at Montgomery,40.7236589,-74.0641943,29212,Subscriber,1986,1,9,11
377,2018-05-23 09:32:05.183,2018-05-23 09:38:23.120,3203,Hamilton Park,40.727595965999996,-74.044247311,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,33625,Subscriber,1992,1,5,23
837,2018-07-29 13:13:56.420,2018-07-29 13:27:53.876,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.03375890000001,26166,Customer,1988,1,7,29
279,2018-05-04 18:32:56.566,2018-05-04 18:37:36.013,3203,Hamilton Park,40.727595965999996,-74.044247311,3211,Newark Ave,40.72152515,-74.046304543,33574,Subscriber,1976,1,5,4
513,2018-06-12 22:45:12.235,2018-06-12 22:53:45.336,3202,Newport PATH,40.7272235,-74.03375890000001,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,26260,Subscriber,1993,2,6,12
207,2018-05-28 18:52:49.554,2018-05-28 18:56:16.924,3202,Newport PATH,40.7272235,-74.03375890000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,26303,Subscriber,1990,1,5,28
263,2018-03-12 13:06:56.450,2018-03-12 13:11:19.681,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,3186,Grove St PATH,40.71958611647166,-74.0431174635887,26156,Subscriber,1983,2,3,12
219,2018-10-05 20:36:35.794,2018-10-05 20:40:15.594,3210,Pershing Field,40.742677141,-74.051788633,3210,Pershing Field,40.742677141,-74.051788633,26163,Customer,1989,1,10,5
207,2018-06-25 17:28:22.169,2018-06-25 17:31:49.427,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.730742625306576,-74.06378388404845,33595,Subscriber,1986,1,6,25
286,2018-08-08 11:11:03.332,2018-08-08 11:15:49.414,3184,Paulus Hook,40.7141454,-74.0335519,3275,Columbus Drive,40.71835519823214,-74.03891444206238,29673,Subscriber,1981,1,8,8
541,2018-05-19 19:42:29.162,2018-05-19 19:51:30.263,3267,Morris Canal,40.7124188237569,-74.03852552175522,3211,Newark Ave,40.72152515,-74.046304543,29262,Customer,1969,0,5,19
251,2018-02-15 06:32:05.855,2018-02-15 06:36:17.388,3187,Warren St,40.721123600000006,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,26193,Subscriber,1987,2,2,15
270493,2018-09-09 10:34:37.306,2018-09-12 13:42:51.188,3194,McGinley Square,40.7253399253558,-74.06762212514876,3426,JCBS Depot,40.70965083364061,-74.0686011314392,26248,Subscriber,2000,1,9,9
358,2018-10-07 16:55:53.901,2018-10-07 17:01:52.000,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3187,Warren St,40.721123600000006,-74.03805095,26187,Subscriber,1991,1,10,7
